Jurisdiction,AbbreviatedDistrict,Full District Name,Type of Zoning District ,Is it an Overlay District?,1-Family,2-Family,3-Family,4+-Family,1-Family Min. Lot (ACRES),2-Family Min. Lot (ACRES),3-Family Min. Lot (ACRES),4+-Family Min. Lot (ACRES)
Danbury,R-3,3-Family Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Prohibited,0.11,0.09,0.09,
Danbury,R-O,Residential-Office,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.18,0.09,,
Danbury,RA-20,RA-20 Single Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,,,
Danbury,RA-40,RA-40 Single Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
Danbury,RA-8,RA-8 Single Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.18,,,
Danbury,RA-80,RA-80 Single Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Danbury,RH-3,RH-3 High-Rise Residential,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,0.09,0.13,0.18
Danbury,RMF-10,RMF-10 Multifamily Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,0.23,0.23,0.23
Danbury,RMF-4,RMF-4 Multifamily Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,0.09,0.09,0.09
Danbury,RMF-6,RMF-6 Multifamily Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.14,0.14,0.14,0.14
Danbury,RR-10,Waterfront Residential-Recreational,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Allowed/Conditional,0.23,,,0.09
Darien,3.7 AH,3.7 Acre Hollow Tree Ridge Road Small Acreage for Affordable Housing,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,,,2,2
Darien,CBD,Central Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Darien,CBD-CS,Central Business-Corbin Sub-Area,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,3
Darien,DB,Designed Business,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,,,,
Darien,DBR,Designed Business & Residential,Mixed with Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2,,,
Darien,DC,Designed Commercial,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,1,,,
Darien,DCR,Designed Community Residential,Primarily Residential,Yes,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,10,10,10,10
Darien,DMR,Designed Multifamily Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,3,3,3,3
Darien,DO,Designed Office,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Darien,LW,Leroy-West Affordable Housing Overlay,Primarily Residential,Yes,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.46,0.46,0.46,0.46
Darien,SNO,Special Needs Overlay,Primarily Residential,Yes,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.875,0.875,0.875,0.875
Darien,MU,Municipal Use,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Darien,NB,Neighborhood Business,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Darien,NH,Noroton Heights Business,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.5,0.5,0.5,0.5
Darien,PR,Parking Residential,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,,,,
Darien,R-1,R-1 One Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Darien,R-1/2,R-1/2 One Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.5,,,
Darien,R-1/3,R-1/3 One Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Darien,R-1/5,R-1/5 One Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.2,,,
Darien,R-2,R-2 One Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2,,,
Darien,R-NBD,Noroton Bay Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.57,,,
Darien,SB,Service Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Deep River,Commerical Industrial Park,Commerical Industrial Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,GC,Gateway Conservation,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,General Commercial District,General Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,Harbor District ,Harbor,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
Deep River,Neighborhood Commerical,Neighborhood Commerical,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,Preservation and Recreation,Preservation & Recreation,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,9.18,,,
Deep River,R-30,Moderate Density Residential ,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
Deep River,R-60,Low Density Residential ,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.38,,,
Deep River,R-80,Very Low Density Residential ,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.84,,,
Deep River,Turnpike Industrial,Turnpike Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,Village Commercial,Village Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Deep River,Village Industrial,Village Industrial,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
Deep River,Village Mix Use,Village Mix Use,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.46,,,
Deep River,Village Residential,Village Residential,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
Derby,B-1,Business-1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Derby,B-2,Business-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Derby,CDD,Center Design Development,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,
Derby,CR,Center Residence,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.06,,,
Derby,HC,H/C Hospital Campus,Mixed with Residential,No,Special Permit,Special Permit,Prohibited,Prohibited,0.21,0.17,,
Derby,I-1,Industrial-1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Derby,I-C,Industrial Campus,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Derby,MDD,Mill Design,Mixed with Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,0.22,0.22,0.22
Derby,OS,Open Space,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Derby,P,Public & Semipublic,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.45,,,
Derby,R-1,Residential-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Derby,R-2,Residential-2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.45,,,
Derby,R-3,Residential-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.34,,,
Derby,R-4,Residential-4,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.21,,,
Derby,R-5,Residential-5,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.17,0.17,,
Derby,R-6,Residential-6,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,10,,,
Derby,RM,Residential-Multiple,Primarily Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.91,0.92,0.92,0.92
Durham,C,Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.459,4,,
Durham,DD,Design Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Durham,FR,Farm Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,2,4,4,4
Durham,HID,Heavy Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Durham,LI,Light Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Durham,MR,Main Street Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.459,4,4,4
East Granby,A,Agricultural,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.91827,,,
East Granby,B,Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.344352617079889,,,
East Granby,CP-A,Commerce Park A,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Granby,CP-B,Commerce Park B,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Granby,EH,Elderly Housing,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,4,,,
East Granby,MFDR,Multifamily Designed Residence,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.149219467401285,,,
East Granby,P,Professional,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Granby,PRD,Planned Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.688705234159779,,,
East Granby,Q,Quarry,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Granby,R-20,R-20 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.45914,,,
East Granby,R-30,R-30 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.68871,,,
East Granby,R-40,R-40 Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.91827,,,
East Granby,V,Village Center,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,,0.114784205693296,0.114784205693296,0.114784205693296
East Haddam,C-3,Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.5,1,1.5,2
East Haddam,C/B/IG,Commercial/Business/Light Industrial,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.5,,,
East Haddam,EHVD,East Haddam Village,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1,,,
East Haddam,FP,Floodplain,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
East Haddam,IG,Industrial,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
East Haddam,LR,Lake & Riverfront,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1,2,,
East Haddam,R,Resort,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1,,,
East Haddam,R-1,R-1 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1,2,,
East Haddam,R-1/2,R-1/2 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.5,1,1.5,2
East Haddam,R-2,R-2 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,2,4,,
East Haddam,R-4,R-4 Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,4,8,,
East Haddam,RD,Research & Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,C,Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,DD,Design Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,PO / R,Professional Office /Residential ,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.459136822773186,0.459136822773186,,
East Hampton,R-1,R-1 Lakeside & Village Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.46 (w/ sewer); 1.38 (w/o sewer),0.46 (w/ sewer); 1.38 (w/o sewer),,
East Hampton,R-2,R-2 Single Family Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92 (w/ sewer); 1.38 (w/o sewer),,,
East Hampton,R-3,R-3 Resource Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.03 (w/ sewer); 1.49 (w/o sewer),1.03 (w/ sewer); 1.49 (w/o sewer),,
East Hampton,R-4,R-4 Rural Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.95133149678604,1.95133149678604,,
East Hampton,RL,Reserved Land ,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,SRPZ,Salmon River Protection,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hampton,VC,Village Center,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,,,,
East Hartford,B-1,Business 1,Mixed with Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Special Permit,0.0872,0.1744,0.2616,.2295 + .057/unit over 4
East Hartford,B-2,Business 2,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Special Permit,0.0872,0.1744,0.2616,.2295 + .057/unit over 4
East Hartford,B-3,Business 3,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,B-4,Business 4,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,.2295 + .057/unit over 4
East Hartford,B-5,Business 5,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,B-6,Business 6,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,CDR,Comprehensive Downtown Rehabilitation,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,DDD-1,Design Development I,Mixed with Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,20
East Hartford,DDD-2,Design Development II ,Primarily Residential,Yes,Special Permit,Special Permit,Special Permit,Special Permit,,,,10
East Hartford,DDD-3,Design Development III,Mixed with Residential,Yes,Prohibited,Allowed/Conditional,Allowed/Conditional,Special Permit,,,,
East Hartford,I-2,Industry 2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,I-3,Industry 3,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Hartford,IDZ,Incentive Development,Mixed with Residential,Yes,Special Permit,Special Permit,Special Permit,Special Permit,,,,
East Hartford,R-1,Residential 1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.6887,,,
East Hartford,R-2,Residential 2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.3444,,,
East Hartford,R-3,Residential 3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.2296,,,
East Hartford,R-4,Residential 4,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Prohibited,0.0872,0.1744,0.2616,
East Hartford,R-5,Residential 5,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.0872,0.1744,0.2616,.2295 (.057 per dwelling unit)
East Hartford,R-6,Residential 6,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.2296,,,
East Haven,CA-1,Commercial CA-1,Mixed with Residential,No,Prohibited,Allowed/Conditional,Prohibited,Prohibited,,,,
East Haven,CA-2,Commercial CA-2,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
East Haven,CB-1,Commercial CB-1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Haven,CB-2,Commercial CB-2,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Prohibited,,,,
East Haven,CC,Commercial CC,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Prohibited,,,0.46,
East Haven,CD,Commercial CD,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,,
East Haven,DRA-1,Design Resident,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.3,0.3,0.3,0.3
East Haven,EALF,Planned Elderly Assisted Living,Primarily Residential,Yes,Prohibited,Prohibited,Prohibited,Special Permit,,,,10
East Haven,LI-1,Light Industrial 1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Haven,LI-2,Light Industrial 2,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,5
East Haven,LI-3,Light Industrial 3,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Haven,PDD,Planned Development,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
East Haven,PEFD,Planned Elderly Facility,Primarily Residential,Yes,Prohibited,Prohibited,Prohibited,Allowed/Conditional,,,,5
East Haven,R-1,Residence R-1,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.17,0.16,0.46,0.46
East Haven,R-2,Residence R-2,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.29,0.3,0.46,0.46
East Haven,R-3,Residence R-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,,,
East Haven,R-4,Residence R-4,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.57,,,
East Haven,R-5,Residence R-5,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.57,,,
East Haven,RA-1,Residence RA -1,Primarily Residential,No,Allowed/Conditional,Prohibited,Allowed/Conditional,Special Permit,0.46,0.46,0.46,0.46
East Haven,RA-2,Residence RA-2,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Special Permit,0.46,0.46,0.46,0.46
East Haven,S-1,Shoreline Development 1,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.16,,,
East Haven,SDA,Shoreline Development Area,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
East Haven,TP/ED,Tech Park/Economic Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Lyme,AHD,Affordable Housing,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,10,10,10
East Lyme,CA,CA Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.23,0.46,,
East Lyme,CB,CB Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.23,0.46,0.17,0.17
East Lyme,CM,CM Commercial,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,0.23,,,
East Lyme,GPDD,Gateway Planned Development,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.92,0.92,0.92,0.92
East Lyme,LI,Light Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Lyme,R-10,Residence R-10,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.23,0.34,,
East Lyme,R-12,Residence R-12,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.28,0.41,,
East Lyme,RU-120,Rural RU-120,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2.75,,,
East Lyme,RU-40/20,Rural RU-40/20,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
East Lyme,RU-80,Rural RU-80,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.84,,,
East Lyme,SU,Special Use,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
East Lyme,SU-E,Special Use Elderly,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,300
East Lyme,TM,Tidal Marsh,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Lyme,IHZ,Incentive Housing,Mixed with Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
East Windsor,A-1,Agriculture/Residential 1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
East Windsor,A-2,Agriculture/Residential 2,Primarily Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,1.84,,,
East Windsor,ARHD ,Age Restricted Housing,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
East Windsor,B-1,Business 1,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.34,,,
East Windsor,B-2,Business 2,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.28,,,
East Windsor,B-3,Business 3,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,0.92,,,
East Windsor,HIFZ,Highway Interchange Floating ,Mixed with Residential,Yes,Special Permit,Special Permit,Special Permit,Special Permit,,,,
East Windsor,M-1,Manufacturing 1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
East Windsor,MFDD,Multifamily Development,Primarily Residential,No,Special Permit,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,4
East Windsor,R-1,Single-Multifamily Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.46,,,
East Windsor,R-2,Single Family Residential R-2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.57,,,
East Windsor,R-3,Single Family Residential R-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.69,,,
East Windsor,TZ5,Transition 5,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Eastford,Subdivision Regs,Subdivision Regs,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.75,1.25,1.5,2 plus .5 acres for every unit over 4
Easton,RA,Residential A,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Easton,RB,Residential B,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,3,,,
Ellington,C,Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ellington,DMF,Designed Multifamily,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.92,5,,
Ellington,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ellington,IP,Industrial Park,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ellington,LR,Lake Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,"0.57 with public water/sewer, 0.92 without",,,
Ellington,MF,Multifamily Residence,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.92,5,,
Ellington,PC,Planned Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Ellington,R,Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.92,1.38,,
Ellington,RAR,Rural Agricultural /Residential,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
Enfield,B-G,Business General,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Enfield,B-L,Business Local,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Enfield,B-P,Business Professional,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Enfield,B-R,Business Regional Shopping,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
Enfield,CRCOD,Connecticut River Conservation Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,HR-33,Historic Residential 33,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.75,,,
Enfield,HV33,Hazardville Design Overlay 33,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,HV44,Hazardville Design Overlay 44,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,HV88,Hazardville Design Overlay 88,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,HVBG,Hazardville Design Overlay Business General,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,HVBL,Hazardville Design Overlay Business Local,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,I-1,Industrial 1,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,0.91,,,
Enfield,I-1M,Industrial 1M,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,0.91,,,
Enfield,I-2,Industrial 2,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,0.91,,,
Enfield,IP,Industrial Park,Mixed with Residential,No,Special Permit,Prohibited,Prohibited,Prohibited,2,,,
Enfield,KSEDOD,King St./Enfield St. Design,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,LO,Limited Office,Mixed with Residential,Yes,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
Enfield,MFHD,Multifamily Housing,Primarily Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,60
Enfield,R-33,Residential 33,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.75,,,
Enfield,R-44,Residential 44,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,1.5,,,
Enfield,R-88,Residential 88,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,1.03,,,
Enfield,SDD,Special Development Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,SDOD,Scitico Design Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Enfield,TV,Thompsonville Village Center,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,,,
Essex,AAC,Active Adult Community,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.84,1.84,2.7600000000000002,3.68 plus .92 for each additional unit 
Essex,BD,Business,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Essex,C,Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.689,0.689,,
Essex,CONS,Conservation,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
